Sequoia Capital China,26
Tiger Global Management,23
Sequoia Capital,23
Accel,20
Insight Partners,16
Sequoia Capital China,16
IDG Capital,15
Accel,15
Tencent Holdings,15
Andreessen Horowitz,14
Andreessen Horowitz,13
General Catalyst,13
Kleiner Perkins Caufield & Byers,13
Google Ventures,13
New Enterprise Associates,12
Goldman Sachs,12
Lightspeed Venture Partners,12
SoftBank Group,11
Sequoia Capital,11
Index Ventures,11
Index Ventures,10
SoftBank Group,10
General Atlantic,10
Battery Ventures,10
Insight Partners,9
Tiger Global Management,9
Tencent Holdings,9
New Enterprise Associates,9
Lightspeed Venture Partners,9
Sequoia Capital India,9
Founders Fund,9
DST Global,9
Greylock Partners,9
Y Combinator,9
Khosla Ventures,8
Bessemer Venture Partners,8
ICONIQ Capital,8
Bessemer Venture Partners,8
Institutional Venture Partners,8
Google Ventures,7
Thrive Capital,7
Khosla Ventures,7
Alibaba Group,7
General Atlantic,6
Qiming Venture Partners,6
DST Global,6
Bain Capital Ventures,6
Spark Capital,6
Redpoint Ventures,6
CRV,6
Venrock,6
Thrive Capital,6
Qualcomm Ventures,6
Ribbit Capital,6
DCM Ventures,6
Coatue Management,6
capitalG,6
Norwest Venture Partners,5
Qiming Venture Partners,5
Kleiner Perkins Caufield & Byers,5
Union Square Ventures,5
Matrix Partners China,5
Goldman Sachs,5
Global Founders Capital,5
Valar Ventures,5
Y Combinator,5
Matrix Partners China,5
KKR,5
Temasek Holdings,5
Accel Partners,5
ZhenFund,5
Greycroft,5
Norwest Venture Partners,5
Comcast Ventures,5
GGV Capital,5
Benchmark,4
IDG Capital,4
TPG Growth,4
General Catalyst,4
Warburg Pincus,4
Shunwei Capital Partners,4
T. Rowe Price,4
GGV Capital,4
Baidu,4
Founders Fund,4
Commerce Ventures,4
Eurazeo,4
D1 Capital Partners,4
Boyu Capital,4
QED Investors,4
Shunwei Capital Partners,4
Salesforce Ventures,4
Foundation Capital,4
Atomico,4
Data Collective,4
Pitango Venture Capital,4
Capital Today,4
Matrix Partners,4
Aleph,4
Tencent,4
Summit Partners,4
Citi Ventures,4
Softbank Group,4
Goodwater Capital,3
Menlo Ventures,3
Warburg Pincus,3
Venrock,3
Eastern Bell Capital,3
Coatue Management,3
Jackson Square Ventures,3
Source Code Capital,3
Caffeinated Capital,3
Sequoia Capital India,3
Alibaba Group,3
Blackrock,3
Tencent,3
Greylock Partners,3
Threshold Ventures,3
Redpoint Ventures,3
Technology Crossover Ventures,3
Insight Venture Partners,3
Benchmark,3
American Express Ventures,3
IDInvest Partners,3
Bond,3
SIG Asia Investments,3
83North,3
Nexus Venture Partners,3
Obvious Ventures,3
Linear Venture,3
Greenoaks Capital Management,3
True Ventures,3
Temasek,3
OMERS Ventures,3
8VC,3
FirstMark Capital,3
Horizons Ventures,3
Felicis Ventures,3
KKR,3
Gaorong Capital,3
Technology Crossover Ventures,3
Hillhouse Capital Management,3
Scale Venture Partners,3
IA Ventures,3
EQT Partners,3
Lakestar,3
Fidelity Investments,3
First Round Capital,3
Undisclosed,2
Salesforce Ventures,2
8VC,2
Institutional Venture Partners,2
Qualcomm Ventures,2
Pantera Capital,2
GreatPoint Ventures,2
Highland Capital Partners,2
Version One Ventures,2
Helion Venture Partners,2
Mayfield Fund,2
Hillhouse Capital Management,2
Trustbridge Partners,2
T. Rowe Price,2
Georgian Partners,2
Tiantu Capital,2
Dragoneer Investment Group,2
Two Sigma Ventures,2
Kaszek Ventures,2
BOLDstart Ventures,2
Summit Partners,2
Pelion Venture Partners,2
Upfront Ventures,2
Initialized Capital,2
Viola Ventures,2
Kinnevik,2
WRVI Capital,2
Shenzhen Capital Group,2
Madrona Venture Group,2
Susquehanna Growth Equity,2
MHS Capital,2
Target Global,2
next47,2
Intel Capital,2
FTV Capital,2
Morningside Ventures,2
Forerunner Ventures,2
Bezos Expeditions,2
Ant Financial Services Group,2
Samsung Ventures,2
FirstMark Capital,2
Durable Capital Partners,2
SV Angel,2
Creandum,2
Sapphire Ventures,2
Susquehanna Growth Equity,2
Legend Capital,2
Tiger Global management,2
Maveron,2
Vintage Investment Partners,2
China Media Group,2
Flint Capital,2
RRE Ventures,2
Craft Ventures,2
Revolution Growth,2
Northzone Ventures,2
Social Capital,2
Altos Ventures,2
XVC Venture Capital,2
NIO Capital,2
Shea Ventures,2
Union Square Ventures,2
Trinity Ventures,2
Genesis Partners,2
Balderton Capital,2
Crosslink Capital,2
Chengwei Capital,2
AME Cloud Ventures,2
TTV Capital,2
Green Pine Capital Partners,2
Caffeinated Capital,2
Redpoint e.ventures,2
RiverPark Ventures,2
US Venture Partners,2
Sands Capital,2
Lowercase Capital,2
Endeavor,2
Guangzhou Huiyin Aofeng Equity Investment Fund,2
Baillie Gifford & Co.,2
Harrison Metal,2
Highland Europe,2
Yunfeng Capital,2
F-Prime Capital,2
Elevation Capital,2
Access Industries,2
L Catterton,2
CDH Investments,2
Dell Technologies Capital,2
Google,2
Mithril Capital Management,2
500 Startups,2
Matrix Partners India,2
VY Capital,2
SAIF Partners China,2
QiMing Venture Partners,2
China Broadband Capital,2
Draper Esprit,2
Sina Weibo,2
Chicago Ventures,2
Insight Venture Partners,2
Silver Lake,2
Foundation Capital,2
Emergence Capital Partners,2
DN Capital,2
PayPal Ventures,2
CRV,2
Intel Capital,2
Zeev Ventures,2
M12,2
Bertelsmann Asia Investments,2
Advent International,2
Speedinvest,2
Anthos Capital,2
NextView Ventures,2
Wing Venture Capital,2
Next World Capital,2
Steadview Capital,2
OrbiMed Advisors,2
Qumra Capital,2
Oak HC/FT Partners,2
Ignition Partners,2
Shasta Ventures,2
Morningside Venture Capital,2
OpenView Venture Partners,2
Xiang He Capital,2
Viking Global Investors,2
K2VC,2
Menlo Ventures,2
Amadeus Capital Partners,2
Tao Capital Partners,2
Zeev Ventures,2
Vostok New Ventures,2
Prosus Ventures,2
BDC Venture Capital,2
Mayfield Fund,2
Unicom Innovation Venture Capital,2
Aglae Ventures,2
Sinovation Ventures,2
Greycroft,2
Foundry Group,2
Matrix Partners,2
Nexus Venture Partners,2
Temasek Holdings,2
SoftBankGroup,2
,2
Vertex Ventures,2
GIC,2
Storm Ventures,2
Forerunner Ventures,2
Threshold Ventures,2
Global Founders Capital,2
Shenzhen Capital Group,2
IDG Capital Partners,2
New Horizon Capital,2
Thoma Bravo,2
WestCap Group,2
Fidelity Investment,2
Uniqa Ventures,2
SignalFire,2
Pritzker Group Venture Capital,1
Makers Fund,1
Delian Capital,1
Hyde Park Venture Partners,1
Digital Currency Group,1
Javelin Venture Partners,1
Costanoa Ventures,1
Balderton Capital,1
Temasek,1
Green Pine Capital Partners,1
Sodexo Ventures,1
Oak HC/FT Partners,1
Founders Fund. Accel,1
Northzone Ventures,1
Barter Ventures,1
China Culture Industrial Investment Fund,1
Invus Group,1
Bregal Sagemount,1
XBTO Ventures,1
